iter	RMSE	MAE
0	238652.1453	194018.6818
1	222132.8731	179099.4893
2	205133.7971	164298.9652
3	192025.8583	152116.9002
4	178998.0921	140839.0699
5	169020.1079	131326.1361
6	159239.3851	122843.3461
7	151564.7736	115757.2984
8	142761.5097	108110.2209
9	137157.2084	103144.4881
10	130320.4187	97572.19425
11	122805.7861	91502.54426
12	118032.5948	87823.99718
13	111472.4716	83088.85684
14	105922.226	78799.84103
15	101681.2503	75299.9553
16	97250.36193	72132.93672
17	93296.05644	68803.60345
18	89871.80281	66256.1544
19	87224.27117	64215.35067
20	85248.84046	62726.13139
21	83052.07209	60935.30589
22	82111.64218	60019.62502
23	79887.47405	58401.81997
24	79339.71684	57871.79846
25	77590.98023	56537.71326
26	76136.95128	55373.28361
27	75203.56077	54734.17899
28	74282.54497	54038.06546
29	73688.69069	53317.37752
30	72796.14565	52617.74189
31	72044.05443	51994.76053
32	71329.77233	51419.204
33	70620.96252	50696.07692
34	70294.01464	50325.37152
35	69606.75714	49696.66693
36	69162.58578	49274.18477
37	68530.99533	48820.20829
38	68033.86252	48402.61199
39	67668.17255	48027.3055
40	67379.13982	47763.04421
41	66981.26939	47353.63517
42	66767.30018	47063.48356
43	66158.65839	46598.14478
44	66114.13771	46520.2634
45	65639.47388	46136.66754
46	64912.41297	45553.36056
47	64629.93024	45228.48629
48	64422.96251	44990.33205
49	64147.77611	44697.31517
50	63788.33509	44417.89996
51	63583.91054	44246.99861
52	63125.38602	43848.95408
53	62941.48971	43584.24968
54	62703.43097	43343.69478
55	62579.90947	43154.98566
56	62409.27596	42965.01538
57	62249.98586	42805.30812
58	62163.22429	42700.29636
59	61939.5378	42384.70544
60	61718.12298	42107.1377
61	61527.42396	41898.03326
62	61228.70311	41618.68141
63	61167.58533	41520.08142
64	61011.00014	41287.72643
65	60763.68279	41067.95614
66	60626.52519	40859.77521
67	60528.65107	40726.73199
68	60470.80746	40652.26012
69	60305.68727	40463.11962
70	60072.2478	40233.3084
71	59873.92902	39958.09588
72	59430.38768	39512.82466
73	59248.11697	39308.74537
74	59052.36129	39102.1938
75	58976.88822	38999.79111
76	58875.83578	38860.18555
77	58779.37259	38747.40224
78	58621.00784	38606.04994
79	58414.39124	38437.32747
80	58198.20027	38232.13071
81	58042.72612	38060.4954
82	57808.32068	37813.10527
83	57661.84032	37630.46308
84	57526.07187	37506.38015
85	57427.84128	37393.13423
86	57298.93808	37202.68005
87	57113.33894	37029.57162
88	56924.63515	36835.38065
89	56897.53273	36781.30155
90	56779.00391	36630.94428
91	56713.64246	36544.29681
92	56587.42366	36397.42963
93	56536.52905	36322.4664
94	56416.97639	36168.64527
95	56368.73354	36116.43583
96	56000.17827	35840.21517
97	55889.64009	35671.22747
98	55572.47743	35400.1224
99	55484.10897	35262.64144
100	55439.66284	35178.59374
101	55407.03616	35122.32503
102	55093.79728	34860.75949
103	55005.80445	34752.11377
104	54797.92465	34601.15772
105	54633.83018	34453.05414
106	54375.32967	34182.84798
107	54334.01394	34111.84341
108	54245.68291	33980.58436
109	54134.8686	33856.20715
110	54020.87663	33754.18032
111	53965.38861	33654.57535
112	53786.83829	33543.92665
113	53722.67852	33437.32195
114	53616.87136	33328.71798
115	53522.19026	33204.48149
