iter	Passed	Remaining
0	1	1517
1	2	1404
2	4	1372
3	5	1322
4	6	1328
5	8	1339
6	9	1298
7	10	1299
8	11	1240
9	12	1260
10	13	1205
11	14	1193
12	15	1176
13	17	1217
14	18	1236
15	20	1251
16	21	1258
17	23	1271
18	24	1286
19	26	1294
20	27	1290
21	28	1288
22	30	1287
23	31	1286
24	33	1298
25	34	1300
26	35	1294
27	37	1287
28	38	1282
29	39	1267
30	40	1260
31	41	1257
32	42	1251
33	43	1237
34	44	1230
35	45	1224
36	46	1221
37	48	1225
38	49	1221
39	50	1217
40	51	1209
41	52	1203
42	53	1199
43	54	1193
44	56	1189
45	57	1187
46	58	1182
47	59	1180
48	60	1178
49	61	1177
50	63	1173
51	64	1169
52	65	1167
53	66	1166
54	67	1164
55	68	1161
56	69	1157
57	71	1155
58	72	1153
59	73	1151
60	74	1150
61	75	1147
62	77	1146
63	78	1144
64	79	1146
65	80	1138
66	81	1135
67	82	1134
68	83	1133
69	85	1132
70	86	1129
71	87	1126
72	88	1126
73	89	1125
74	91	1124
75	92	1122
76	93	1120
77	94	1121
78	96	1120
79	97	1119
80	98	1118
81	99	1116
82	100	1113
83	101	1111
84	103	1109
85	104	1108
86	105	1106
87	106	1104
88	107	1102
89	108	1101
90	109	1098
91	111	1097
92	112	1095
93	113	1093
94	114	1092
95	115	1090
96	116	1088
97	117	1085
98	118	1079
99	119	1077
100	120	1074
101	122	1074
102	123	1073
103	124	1072
104	125	1070
105	126	1070
106	128	1070
107	129	1068
108	130	1068
109	131	1063
110	133	1065
111	134	1067
112	135	1066
113	137	1066
114	138	1065
115	139	1064
116	140	1063
117	142	1062
118	143	1060
119	144	1058
120	145	1056
121	146	1054
122	147	1052
123	148	1049
124	149	1048
125	150	1045
126	151	1043
127	152	1042
128	154	1040
129	155	1039
130	156	1038
131	157	1036
132	158	1035
133	159	1033
134	161	1031
135	162	1029
136	163	1027
137	164	1026
138	165	1024
139	166	1022
140	167	1021
141	168	1020
142	170	1019
143	171	1017
144	172	1016
145	173	1015
146	174	1014
147	175	1012
148	177	1011
149	178	1010
150	179	1008
151	180	1007
152	181	1005
153	182	1003
154	183	1001
155	184	999
156	186	998
157	187	997
158	188	995
159	189	993
160	190	992
161	191	990
162	192	989
163	193	987
164	194	985
165	196	985
166	197	984
167	198	982
168	199	981
169	200	980
170	201	978
171	202	976
172	204	975
173	205	974
174	206	973
175	207	972
176	208	971
177	210	971
178	211	969
179	212	968
180	213	966
181	214	965
182	215	963
183	216	962
184	218	960
185	219	959
186	220	958
187	221	956
188	222	955
189	223	954
190	224	952
191	225	950
192	226	948
193	228	947
194	229	945
195	230	944
196	231	943
197	232	941
198	233	939
199	250	1002
200	251	1000
201	252	999
202	254	997
203	255	995
204	256	994
205	257	991
206	258	989
207	259	988
208	260	986
209	261	984
210	262	982
211	263	980
212	264	978
213	265	976
214	266	974
215	268	972
216	269	971
217	270	969
218	271	967
219	272	965
220	273	963
221	274	961
222	275	959
223	276	957
224	277	955
225	278	953
226	279	952
227	280	950
228	281	948
229	282	945
230	283	943
231	284	942
232	285	940
233	286	938
234	287	936
235	288	935
236	289	933
237	290	931
238	291	929
239	293	928
240	293	925
241	294	923
242	296	922
243	297	920
244	298	918
245	299	917
246	300	915
247	301	914
248	302	912
249	303	911
250	304	909
251	305	907
252	306	905
253	307	903
254	309	903
255	310	902
256	311	900
257	312	898
258	313	896
259	314	895
260	315	893
261	316	892
262	317	891
263	319	889
264	320	887
265	321	886
266	322	885
267	323	883
268	324	881
269	325	880
270	326	878
271	327	876
272	328	875
273	329	873
274	330	872
275	332	871
276	333	869
277	334	868
278	335	866
279	336	865
280	337	863
281	338	862
282	339	860
283	340	859
284	341	857
285	342	855
286	343	854
287	344	852
288	345	851
289	347	849
290	348	848
291	349	846
292	350	844
293	351	843
294	352	841
295	353	840
296	354	838
297	355	836
298	356	835
299	357	833
300	358	832
301	359	830
302	360	828
303	360	826
304	361	824
305	362	823
306	364	821
307	365	820
308	365	818
309	367	816
310	367	815
311	369	813
312	370	812
313	371	810
314	372	809
315	372	807
316	374	805
317	375	804
318	376	802
319	376	801
320	378	799
321	379	798
322	380	797
323	381	795
324	382	794
325	383	792
326	384	791
327	385	789
328	386	788
329	387	786
330	388	785
331	389	783
332	390	782
333	391	780
334	392	778
335	393	777
336	394	776
337	395	774
338	396	773
339	397	771
340	398	770
341	399	769
342	400	767
343	401	766
344	402	764
345	403	763
346	404	761
347	405	760
348	406	758
349	407	757
350	408	755
351	409	754
352	410	753
353	412	751
354	413	750
355	414	749
356	415	747
357	416	746
358	417	744
359	418	743
360	419	741
361	419	740
362	421	738
363	422	737
364	422	735
365	423	734
366	424	733
367	426	731
368	427	730
369	428	729
370	429	727
371	430	726
372	431	724
373	432	723
374	433	721
375	434	720
376	435	718
377	435	717
378	436	715
379	437	714
380	438	713
381	439	711
382	440	710
383	442	709
384	443	707
385	443	706
386	444	704
387	445	703
388	446	702
389	447	700
390	449	699
391	450	698
392	450	696
393	451	695
394	453	693
395	454	692
396	455	691
397	456	690
398	457	688
399	458	687
400	459	685
401	460	684
402	461	683
403	462	681
404	463	680
405	464	679
406	465	677
407	466	676
408	467	675
409	468	673
410	469	672
411	470	671
412	471	669
413	472	668
414	473	667
415	474	666
416	475	664
417	476	663
418	477	662
419	478	660
420	479	659
421	480	658
422	481	656
423	482	655
424	483	653
425	484	652
426	485	651
427	486	650
428	487	648
429	488	647
430	489	646
431	490	645
432	491	643
433	492	642
434	493	641
435	494	639
436	495	638
437	496	637
438	497	636
439	498	634
440	499	633
441	500	632
442	501	631
443	502	629
444	503	628
445	505	627
446	506	626
447	507	625
448	508	623
449	509	622
450	510	621
451	511	619
452	512	618
453	513	617
454	514	615
455	515	614
456	516	613
457	517	611
458	518	610
459	519	609
460	520	608
461	521	607
462	522	605
463	523	604
464	524	603
465	525	601
466	526	600
467	527	599
468	528	597
469	529	596
470	530	595
471	531	594
472	532	593
473	533	591
474	534	590
475	535	589
476	536	587
477	537	586
478	538	585
479	539	583
480	540	582
481	540	581
482	542	580
