usableAreas,totalAreas,suites,bathrooms,bedrooms,parkingSpaces,neighborhood,monthlyCondoFee,price,adult_game_room,air_conditioning,balcony,barbecue_grill,concierge_24h,dinner_room,electronic_gate,elevator,furnished,garden,gated_community,gourmet_space,gym,intercom,laundry,party_hall,pets_allowed,playground,service_area,sports_court,pool,price_per_sqft
77,90.0,1.0,2,3,1.0,outros,400.0,595000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6611.111111111111
93,106.0,1.0,2,3,2.0,outros,600.0,610000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5754.7169811320755
78,130.0,1.0,2,3,2.0,outros,700.0,649900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4999.2307692307695
33,45.0,0.0,1,1,1.0,Portão,350.0,249900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5553.333333333333
119,119.0,1.0,3,3,2.0,outros,750.0,899000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7554.621848739495
136,186.0,1.0,3,3,2.0,outros,850.0,985000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5295.698924731183
33,46.0,0.0,1,1,1.0,outros,470.0,340000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7391.304347826087
77,102.0,0.0,1,1,1.0,Centro,600.0,330000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3235.294117647059
20,32.0,0.0,1,1,1.0,Bigorrilho,350.0,239900,False,False,False,True,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,7496.875
30,42.0,0.0,1,1,1.0,outros,350.0,179000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4261.9047619047615
90,108.0,1.0,2,3,2.0,Centro,1100.0,850000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7870.37037037037
100,140.0,1.0,2,3,1.0,outros,500.0,750000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5357.142857142857
37,39.0,0.0,1,1,1.0,Centro,270.0,205000,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,5256.410256410257
94,160.0,1.0,2,2,2.0,outros,650.0,950000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5937.5
33,60.0,1.0,1,1,0.0,Centro,340.0,495000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8250.0
34,40.0,0.0,1,1,1.0,outros,221.0,240000,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,6000.0
29,43.0,1.0,1,1,0.0,outros,400.0,210000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4883.720930232558
70,70.0,1.0,2,3,1.0,Cristo Rei,580.3571428571429,420000,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,6000.0
61,61.0,1.0,2,3,1.0,outros,480.0,299900,False,False,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,4916.393442622951
106,118.0,1.0,4,3,1.0,outros,870.0,690000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5847.457627118644
74,74.0,1.0,2,3,1.0,outros,280.0,359000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4851.351351351352
63,77.0,1.0,2,3,1.0,Água Verde,600.0,635900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8258.441558441558
74,98.0,1.0,2,3,2.0,outros,588.0,545000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5561.224489795918
72,91.0,1.0,2,3,1.0,outros,370.0,490000,False,False,False,True,True,False,True,True,False,False,True,False,True,False,False,True,True,True,False,False,False,5384.615384615385
70,80.0,1.0,2,3,1.0,outros,390.0,390000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4875.0
87,120.0,1.0,2,3,2.0,Cristo Rei,500.0,769000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6408.333333333333
68,100.0,1.0,2,2,1.0,outros,525.0,589900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5899.0
76,124.0,1.0,2,3,1.0,outros,520.0,590000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4758.064516129032
106,123.0,1.0,2,3,2.0,Cidade Industrial,800.0,895000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7276.422764227642
94,121.0,1.0,2,3,2.0,Água Verde,732.0,889000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7347.107438016529
105,185.0,1.0,3,3,2.0,outros,700.0,879000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4751.351351351352
106,127.0,1.0,3,3,2.0,outros,954.0,619900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4881.102362204724
95,107.0,1.0,2,2,1.0,outros,720.0,680000,False,False,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,True,False,6355.140186915888
103,134.0,2.0,3,3,2.0,Cidade Industrial,778.0,955000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7126.865671641791
66,84.0,1.0,2,2,1.0,Cristo Rei,550.0,650000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7738.0952380952385
98,128.0,1.0,3,3,2.0,Portão,410.0,899000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7023.4375
134,145.0,1.0,2,3,2.0,outros,980.0,680000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4689.6551724137935
103,170.0,1.0,3,3,2.0,outros,900.0,989000,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,False,False,False,5817.64705882353
85,111.0,1.0,2,2,2.0,outros,558.0,880000,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,True,False,True,True,False,False,7927.927927927928
169,169.0,1.0,4,3,2.0,outros,532.01741195093,790000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4674.556213017751
50,87.0,0.0,1,1,2.0,Batel,876.1532663316583,660000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7586.206896551724
82,82.0,1.0,2,3,2.0,outros,550.0,495000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6036.585365853659
83,102.0,1.0,2,3,1.0,Vila Izabel,790.0,698000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6843.137254901961
104,104.0,1.0,2,1,2.0,outros,1000.0,430000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4134.615384615385
52,52.0,1.0,2,2,2.0,outros,600.0,460000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8846.153846153846
106,129.0,1.0,2,3,2.0,outros,912.0,895000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6937.984496124031
65,65.0,1.0,2,3,1.0,outros,450.0,335000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5153.846153846154
99,137.0,1.0,1,3,2.0,outros,650.0,720000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5255.474452554745
47,70.0,0.0,1,1,1.0,Vila Izabel,500.0,500000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7142.857142857143
122,141.0,1.0,2,3,1.0,outros,1000.0,970000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6879.432624113475
119,179.0,1.0,3,3,2.0,outros,1020.0,870000,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,4860.335195530726
62,77.0,1.0,2,3,1.0,Água Verde,654.7089985486211,650000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8441.558441558442
63,81.0,1.0,2,1,1.0,Bigorrilho,640.0,645000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7962.962962962963
105,174.0,1.0,2,3,2.0,outros,532.01741195093,900000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5172.413793103448
70,70.0,1.0,2,3,2.0,Cabral,550.0,600000,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,8571.42857142857
42,50.0,0.0,1,1,1.0,Água Verde,350.0,260000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5200.0
91,91.0,1.0,3,3,1.0,Água Verde,700.0,648000,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,7120.879120879121
